score_bucket,top_fraction,time_to_depeg_bin,min_hours_ahead,max_hours_ahead,n_valid,n_bucket,n_events_bin,n_bucket_events_bin,base_event_rate,bucket_event_rate,lift
top_1pct,0.01,1-4h,1,4,11373,114,501,82,0.04405170139804801,0.7192982456140351,16.32850089295094
top_1pct,0.01,5-9h,5,9,11373,114,112,7,0.009847885342477799,0.06140350877192982,6.235197368421052
top_1pct,0.01,10-14h,10,14,11373,114,96,3,0.008441044579266685,0.02631578947368421,3.117598684210526
top_1pct,0.01,15-19h,15,19,11373,114,82,3,0.0072100589114569595,0.02631578947368421,3.6498716302952503
top_1pct,0.01,20-24h,20,24,11373,114,78,0,0.006858348720654181,0.0,0.0
top_5pct,0.05,1-4h,1,4,11373,570,501,416,0.04405170139804801,0.7298245614035088,16.5674545645551
top_5pct,0.05,5-9h,5,9,11373,570,112,32,0.009847885342477799,0.056140350877192984,5.700751879699248
top_5pct,0.05,10-14h,10,14,11373,570,96,18,0.008441044579266685,0.031578947368421054,3.7411184210526316
top_5pct,0.05,15-19h,15,19,11373,570,82,14,0.0072100589114569595,0.02456140350877193,3.4065468549422335
top_5pct,0.05,20-24h,20,24,11373,570,78,9,0.006858348720654181,0.015789473684210527,2.3022267206477736
top_10pct,0.1,1-4h,1,4,11373,1140,501,469,0.04405170139804801,0.4114035087719298,9.339105998529257
top_10pct,0.1,5-9h,5,9,11373,1140,112,57,0.009847885342477799,0.05,5.077232142857143
top_10pct,0.1,10-14h,10,14,11373,1140,96,30,0.008441044579266685,0.02631578947368421,3.117598684210526
top_10pct,0.1,15-19h,15,19,11373,1140,82,24,0.0072100589114569595,0.021052631578947368,2.9198973042362
top_10pct,0.1,20-24h,20,24,11373,1140,78,27,0.006858348720654181,0.02368421052631579,3.4533400809716603
top_20pct,0.2,1-4h,1,4,11373,2280,501,487,0.04405170139804801,0.21359649122807017,4.848768252967749
top_20pct,0.2,5-9h,5,9,11373,2280,112,88,0.009847885342477799,0.03859649122807018,3.9192669172932333
top_20pct,0.2,10-14h,10,14,11373,2280,96,64,0.008441044579266685,0.028070175438596492,3.3254385964912276
top_20pct,0.2,15-19h,15,19,11373,2280,82,43,0.0072100589114569595,0.018859649122807017,2.6157413350449294
top_20pct,0.2,20-24h,20,24,11373,2280,78,39,0.006858348720654181,0.017105263157894738,2.4940789473684215
