fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,random_forest,0.3,25834,18084,7726,11397,4374,21460,1206,10191,5.4980237154150196,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.9279615887136131,0.7748757988406552,0.3897124551833717,0.8407960199004975,0.12707290746737318,0.43915114768297964,4.150087587183183,0.10581732034745986
2,random_forest,0.3,26018,18213,7781,11397,4419,21599,1148,10249,5.544376572044556,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.9272578815371808,0.7897850618595846,0.42244425553985016,0.7979094076655052,0.06878719875109766,0.5650832819247378,5.609977494857349,0.10072826182328683
3,random_forest,0.3,26202,18342,7836,11397,4577,21625,979,10418,5.47212420606916,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9253262650817876,0.754808540832972,0.4270940851927271,0.7814096016343207,0.0702630063351891,0.5110220440881763,5.949048249717002,0.0858997981925068
4,random_forest,0.3,26385,18470,7891,11397,4686,21699,894,10503,5.458041958041958,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9180445088555715,0.7221211741278559,0.4014897052542396,0.8064876957494407,0.10549366847567361,0.39420448332422087,5.025445745465487,0.07844169518294287
5,random_forest,0.3,26569,18599,7946,11397,4707,21862,869,10528,5.503146853146853,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9250890714792882,0.7351218259858314,0.3886365048463074,0.8181818181818182,0.09621960486322188,0.4124129930394432,5.408827251634676,0.07624813547424761
