fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,random_forest,0.1,25834,18084,7726,11397,1802,24032,425,10972,13.982601491300745,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.9086513263708691,0.3592564422201371,0.23485778625204967,0.8117647058823529,0.11301494713816988,0.21766561514195584,5.837023566524402,0.0372905150478196
2,random_forest,0.1,26018,18213,7781,11397,1844,24174,383,11014,14.089478044739023,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.9326477907775577,0.4282789883997484,0.22346256487022526,0.8511749347258486,0.11485382240784456,0.20490257699560024,6.097322898221556,0.03360533473721155
3,random_forest,0.1,26202,18342,7836,11397,1929,24273,274,11123,14.022113022113022,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9170381487428889,0.2916009713496003,0.23649799594140364,0.8467153284671532,0.14213791243369595,0.12796469939327082,5.32267766052959,0.024041414407300166
4,random_forest,0.1,26385,18470,7891,11397,2032,24353,195,11202,14.004061738424046,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.8882227990422956,0.20505439998017108,0.23478682194333064,0.7846153846153846,0.150598107480807,0.08315217391304348,4.859924749163881,0.01710976572782311
5,random_forest,0.1,26569,18599,7946,11397,2032,24537,195,11202,14.10885458976442,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.8884159879874931,0.2336989716064963,0.2299985190268675,0.7589743589743589,0.12247812890555258,0.09736842105263158,5.69080971659919,0.01710976572782311
