fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,random_forest,0.3,25834,18084,7726,11397,579,25255,24,11373,34.52848722986248,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.9806229666754593,0.05249245708352068,0.16542324437115327,1.0,0.05170139804800844,0.0392156862745098,18.622549019607845,0.0021058173203474598
2,random_forest,0.3,26018,18213,7781,11397,579,25439,24,11373,34.781925343811395,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.983956886192444,0.06110969303474352,0.1894993144369777,1.0,0.03974325156071397,0.05042016806722689,23.943277310924373,0.0021058173203474598
3,random_forest,0.3,26202,18342,7836,11397,579,25623,24,11373,35.03536345776031,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9806596031536681,0.05151380504695417,0.15741559265721647,1.0,0.04800844104457927,0.042105263157894736,19.994736842105265,0.0021058173203474598
4,random_forest,0.3,26385,18470,7891,11397,579,25806,24,11373,35.286836935166995,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9876718250827985,0.07729282337828665,0.1697745326825691,1.0,0.030510859052141036,0.0646900269541779,30.71967654986523,0.0021058173203474598
5,random_forest,0.3,26569,18599,7946,11397,579,25990,24,11373,35.54027504911591,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9902986605703568,0.10025539882919758,0.18721634265255943,1.0,0.022509452211377824,0.08571428571428572,40.70357142857143,0.0021058173203474598
