score_bucket,top_fraction,time_to_depeg_bin,min_hours_ahead,max_hours_ahead,n_valid,n_bucket,n_events_bin,n_bucket_events_bin,base_event_rate,bucket_event_rate,lift
top_1pct,0.01,1-4h,1,4,11387,115,79,25,0.006937736014753666,0.21739130434782608,31.334617501375895
top_1pct,0.01,5-9h,5,9,11387,115,34,3,0.0029858610696408185,0.02608695652173913,8.736828644501278
top_1pct,0.01,10-14h,10,14,11387,115,30,5,0.0026345832967418987,0.043478260869565216,16.502898550724638
top_1pct,0.01,15-19h,15,19,11387,115,27,0,0.002371124967067709,0.0,0.0
top_1pct,0.01,20-24h,20,24,11387,115,25,0,0.002195486080618249,0.0,0.0
top_5pct,0.05,1-4h,1,4,11387,571,79,64,0.006937736014753666,0.11208406304728546,16.155711720499237
top_5pct,0.05,5-9h,5,9,11387,571,34,14,0.0029858610696408185,0.024518388791593695,8.21149685793757
top_5pct,0.05,10-14h,10,14,11387,571,30,14,0.0026345832967418987,0.024518388791593695,9.30636310566258
top_5pct,0.05,15-19h,15,19,11387,571,27,6,0.002371124967067709,0.010507880910683012,4.431601478886943
top_5pct,0.05,20-24h,20,24,11387,571,25,0,0.002195486080618249,0.0,0.0
top_10pct,0.1,1-4h,1,4,11387,1142,79,70,0.006937736014753666,0.06129597197898424,8.83515484714802
top_10pct,0.1,5-9h,5,9,11387,1142,34,23,0.0029858610696408185,0.020140105078809107,6.7451581333058614
top_10pct,0.1,10-14h,10,14,11387,1142,30,16,0.0026345832967418987,0.014010507880910683,5.317921774664332
top_10pct,0.1,15-19h,15,19,11387,1142,27,12,0.002371124967067709,0.010507880910683012,4.431601478886943
top_10pct,0.1,20-24h,20,24,11387,1142,25,8,0.002195486080618249,0.0070052539404553416,3.190753064798599
top_20pct,0.2,1-4h,1,4,11387,2283,79,78,0.006937736014753666,0.03416557161629435,4.924599544237263
top_20pct,0.2,5-9h,5,9,11387,2283,34,27,0.0029858610696408185,0.011826544021024968,3.9608487284532736
top_20pct,0.2,10-14h,10,14,11387,2283,30,24,0.0026345832967418987,0.010512483574244415,3.990188348664039
top_20pct,0.2,15-19h,15,19,11387,2283,27,19,0.002371124967067709,0.008322382829610162,3.5098878992878113
top_20pct,0.2,20-24h,20,24,11387,2283,25,18,0.002195486080618249,0.00788436268068331,3.591169513797634
