fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,catboost,1.0,24694,17286,7408,11397,1574,23120,653,10744,13.624365482233502,2024-10-27 04:00:00+00:00,2024-10-27 05:00:00+00:00,2026-02-14 01:00:00+00:00,0.8073611226722646,0.289971276450713,0.1093353713431111,0.9264931087289433,0.45569620253164556,0.1099800036357026,1.9195131721839243,0.05729577959112047
2,catboost,1.0,25169,17619,7550,11397,1669,23500,558,10839,13.906091370558375,2024-11-15 23:00:00+00:00,2024-11-16 00:00:00+00:00,2026-03-05 20:00:00+00:00,0.8390039817055166,0.42604073580409935,0.5934464302989778,0.5878136200716846,0.0806347449026663,0.27287853577371046,5.573470738732936,0.048960252698078445
3,catboost,1.0,25644,17951,7693,11397,1770,23874,457,10940,13.872410936205467,2024-12-05 18:00:00+00:00,2024-12-05 19:00:00+00:00,2026-03-25 15:00:00+00:00,0.8792108537117118,0.3527164143733866,0.5321160125818946,0.7461706783369803,0.12394881170018282,0.2009428403064231,5.011259411317952,0.04009827147494955
4,catboost,1.0,26118,18283,7835,11397,1873,24245,354,11043,14.147473073736537,2024-12-25 12:00:00+00:00,2024-12-25 13:00:00+00:00,2026-04-14 09:00:00+00:00,0.8822403792877457,0.32346772823588626,0.4564949984699878,0.8135593220338984,0.14534093996196687,0.15213946117274169,4.898117059281743,0.031060805475125033
5,catboost,1.0,26593,18616,7977,11397,2032,24561,195,11202,14.122664500406174,2025-01-14 07:00:00+00:00,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.8333898708563947,0.13624456398524126,0.4836136436592679,0.6615384615384615,0.1335475807891448,0.07938461538461539,4.639725443786983,0.01710976572782311
