time_to_depeg_bin,min_hours_ahead,max_hours_ahead,threshold,n_valid,n_alerts,alert_rate,n_events_bin,n_alert_events_bin,precision,recall,f1,base_event_rate,alert_conditioned_event_rate,lift
1-4h,1.0,4.0,0.6624721038723905,11387,55,0.004830069377360148,79,3,0.05454545454545454,0.0379746835443038,0.04477611940298507,0.006937736014753666,0.05454545454545454,7.862140391254315
5-9h,5.0,9.0,0.6624721038723905,11387,55,0.004830069377360148,34,1,0.01818181818181818,0.029411764705882353,0.022471910112359553,0.0029858610696408185,0.01818181818181818,6.089304812834224
10-14h,10.0,14.0,0.6624721038723905,11387,55,0.004830069377360148,30,0,0.0,0.0,,0.0026345832967418987,0.0,0.0
15-19h,15.0,19.0,0.6624721038723905,11387,55,0.004830069377360148,27,0,0.0,0.0,,0.002371124967067709,0.0,0.0
20-24h,20.0,24.0,0.6624721038723905,11387,55,0.004830069377360148,25,0,0.0,0.0,,0.002195486080618249,0.0,0.0
positive_target_but_no_reconstructed_crossing,,,0.6624721038723905,11387,55,0.004830069377360148,0,0,,,,,,
