fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,0.3,25834,18084,7726,11397,4374,21460,1206,10191,5.4980237154150196,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.8440663509391844,0.6290020038029853,0.19258816704054535,0.6077943615257048,0.052006672554214504,0.5803642121931908,5.484586174432666,0.10581732034745986
2,lightgbm,0.3,26018,18213,7781,11397,4419,21599,1148,10249,5.544376572044556,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.8904772897024371,0.7057919818637699,0.3045443663814605,0.7613240418118467,0.12410966923602303,0.40726933830382106,4.043247951784537,0.10072826182328683
3,lightgbm,0.3,26202,18342,7836,11397,4577,21625,979,10418,5.47212420606916,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.8921768248597785,0.6953717457773068,0.28690365159132086,0.7579162410623085,0.1062583989249376,0.40129799891833423,4.671698972086062,0.0858997981925068
4,lightgbm,0.3,26385,18470,7891,11397,4686,21699,894,10503,5.458041958041958,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.8796539648520579,0.6494276314335409,0.23501669247825277,0.7740492170022372,0.16547653051509092,0.2847736625514403,3.630386389372221,0.07844169518294287
5,lightgbm,0.3,26569,18599,7946,11397,4707,21862,869,10528,5.503146853146853,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.8208516125337092,0.2891958504187985,0.16168215271719963,0.8872266973532796,0.33453647416413373,0.1795946890286513,2.3553977800454993,0.07624813547424761
