fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,0.5,25834,18084,7726,11397,1802,24032,425,10972,13.982601491300745,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.379415732023761,0.038986241111818226,0.06611535972883892,0.9552941176470588,0.7985781990521327,0.044284467713787086,1.187553125962427,0.0372905150478196
2,lightgbm,0.5,26018,18213,7781,11397,1844,24174,383,11014,14.089478044739023,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.41047069929038804,0.03966485878888887,0.06564694294456572,1.0,0.80334120210641,0.04149062940093164,1.2346441338966525,0.03360533473721155
3,lightgbm,0.5,26202,18342,7836,11397,1929,24273,274,11123,14.022113022113022,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.31557973843899434,0.02260975816581907,0.06594154439818184,1.0,0.8980490874764002,0.026697846633537952,1.1104940076001169,0.024041414407300166
4,lightgbm,0.5,26385,18470,7891,11397,2032,24353,195,11202,14.004061738424046,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.3984963765627933,0.02164888937339231,0.06602120256760607,1.0,0.8851098018211033,0.019287833827893175,1.127299703264095,0.01710976572782311
5,lightgbm,0.5,26569,18599,7946,11397,2032,24537,195,11202,14.10885458976442,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.3704370556539812,0.016247745864681282,0.06556363185751087,1.0,0.8711837171933583,0.01959011452682339,1.1449668474984933,0.01710976572782311
