fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,xgboost,0.1,25834,18084,7726,11397,4374,21460,1206,10191,5.4980237154150196,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.8615183413062577,0.6766900570144363,0.5966644883155823,0.697346600331675,0.08536944362672946,0.4915254237288136,4.645037524243191,0.10581732034745986
2,xgboost,0.1,26018,18213,7781,11397,4419,21599,1148,10249,5.544376572044556,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.8427452597567945,0.6104817598198963,0.5000749826431274,0.5487804878048781,0.00800078056395746,0.8848314606741573,8.784341600438477,0.10072826182328683
3,xgboost,0.1,26202,18342,7836,11397,4577,21625,979,10418,5.47212420606916,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.8710583022901158,0.6676048161092438,0.5388376712799072,0.7313585291113381,0.07611825686312151,0.47448641484426773,5.523719785475096,0.0858997981925068
4,xgboost,0.1,26385,18470,7891,11397,4686,21699,894,10503,5.458041958041958,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.8555637986462161,0.5974310688637006,0.5907042622566223,0.6051454138702461,0.047319813386651435,0.5211946050096339,6.6443567262805345,0.07844169518294287
5,xgboost,0.1,26569,18599,7946,11397,4707,21862,869,10528,5.503146853146853,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.7970402669980168,0.5230686404648199,0.4905546307563782,0.904487917146145,0.3966565349544073,0.15840386940749698,2.0774785956700152,0.07624813547424761
