model_name,alpha,n_splits,cv_test_frac,cv_min_train_frac,cv_auc_mean,cv_auc_std,cv_auprc_mean,cv_auprc_std,cv_lift_at_best_threshold_mean,cv_lift_at_best_threshold_std,cv_best_threshold_youdenJ_mean,cv_best_threshold_youdenJ_std,cv_tpr_at_best_threshold_mean,cv_tpr_at_best_threshold_std,cv_fpr_at_best_threshold_mean,cv_fpr_at_best_threshold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,fold_1_auprc,fold_2_auprc,fold_3_auprc,fold_4_auprc,fold_5_auprc
random_forest,1.5,5,0.3,0.68,0.8931919587068775,0.016598963609885005,0.31541633522832313,0.028630704976101477,5.947745348278517,1.529075980559219,0.2561317353072789,0.03654179453169086,0.7668699758680174,0.06140721747389349,0.123116685309969,0.04760524017934001,0.8965049001737042,0.9168414185411304,0.8997785872765776,0.8864474750387981,0.8663874125041773,0.29186947340367647,0.3555461661426916,0.3284442455355419,0.32635579570284834,0.2748659953568576
catboost,1.5,5,0.3,0.68,0.8667521001855268,0.02719766919224832,0.2231402256874741,0.1292867262680226,4.029824690739227,1.2429070041923962,0.37665889711496214,0.19534492190824027,0.8116367993317748,0.04099544756866981,0.20779554782551046,0.08253939641986682,0.8819017391863782,0.9116427181925116,0.843654989890744,0.8591895220175884,0.8373715316404122,0.34981510794644755,0.406066647746717,0.08260448258520851,0.14212946004637447,0.13508543011262314
xgboost,1.5,5,0.3,0.68,0.7407073727090567,0.04874642531509078,0.14517306848845163,0.06470118764114946,3.119208925704226,1.396430843686862,0.3922163426876068,0.17790763330091697,0.7645636115365657,0.10838926410365932,0.29580274068560114,0.14334938372559722,0.6950611181402929,0.7027725453623941,0.7250113364101871,0.830246430353554,0.7504454332788558,0.10375361060167373,0.07695907150446005,0.09990478496459224,0.206561469589704,0.23868640578182823
lightgbm,1.5,5,0.3,0.68,0.6622930588216756,0.11293130863608347,0.05647917251570048,0.02270596986419687,2.5326191119681907,1.1541173824985627,0.06512297084141046,0.005341734562342776,0.6910600656721304,0.08849329591088737,0.31699649835485333,0.12408545178740235,0.7157318093114022,0.6426684101554112,0.4534226115282925,0.7779045866351705,0.7217378764781014,0.09684347355758388,0.05559143860519856,0.03846399046473477,0.059764509337602516,0.0317324506133827
