fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,catboost,0.5,25834,18084,7726,11397,860,24974,139,11258,28.120772946859905,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.7351469330841953,0.024125061559041913,0.5018165060377008,0.9280575539568345,0.44821460294901405,0.024927536231884057,2.0438786362214576,0.012196191980345704
2,catboost,0.5,26018,18213,7781,11397,860,25158,139,11258,28.32850241545894,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.885842329866787,0.11759694743512987,0.5049369624231882,0.8273381294964028,0.11458518386924853,0.08185053380782918,6.711154919480786,0.012196191980345704
3,catboost,0.5,26202,18342,7836,11397,866,25336,109,11288,28.536231884057973,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9354998244461928,0.0918450338575058,0.4962180462616031,0.944954128440367,0.13199858256555635,0.06465787821720025,6.760604018728727,0.00956392032991138
4,catboost,0.5,26385,18470,7891,11397,956,25429,43,11354,28.74235104669887,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9673181462531389,0.11214776471813323,0.4901115358537068,1.0,0.12515413070283601,0.029371584699453553,7.784836065573771,0.0037729226989558656
5,catboost,0.5,26569,18599,7946,11397,956,25613,43,11354,28.950080515297905,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9801995813379979,0.1807502423217816,0.20421822125767786,1.0,0.07442311079795667,0.04842342342342342,12.83445945945946,0.0037729226989558656
