target_threshold_bps,model_name,alpha,run_name,best_iteration,test_roc_auc,test_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_time_to_depeg_1_4h,recall_time_to_depeg_1_4h,f1_time_to_depeg_1_4h,lift_time_to_depeg_1_4h,base_event_rate_time_to_depeg_1_4h,alert_conditioned_event_rate_time_to_depeg_1_4h,support_time_to_depeg_1_4h,precision_time_to_depeg_5_9h,recall_time_to_depeg_5_9h,f1_time_to_depeg_5_9h,lift_time_to_depeg_5_9h,base_event_rate_time_to_depeg_5_9h,alert_conditioned_event_rate_time_to_depeg_5_9h,support_time_to_depeg_5_9h,precision_time_to_depeg_10_14h,recall_time_to_depeg_10_14h,f1_time_to_depeg_10_14h,lift_time_to_depeg_10_14h,base_event_rate_time_to_depeg_10_14h,alert_conditioned_event_rate_time_to_depeg_10_14h,support_time_to_depeg_10_14h,precision_time_to_depeg_15_19h,recall_time_to_depeg_15_19h,f1_time_to_depeg_15_19h,lift_time_to_depeg_15_19h,base_event_rate_time_to_depeg_15_19h,alert_conditioned_event_rate_time_to_depeg_15_19h,support_time_to_depeg_15_19h,precision_time_to_depeg_20_24h,recall_time_to_depeg_20_24h,f1_time_to_depeg_20_24h,lift_time_to_depeg_20_24h,base_event_rate_time_to_depeg_20_24h,alert_conditioned_event_rate_time_to_depeg_20_24h,support_time_to_depeg_20_24h,support_time_to_depeg_positive_target_but_no_reconstructed_crossing,source_file
10,random_forest,0.1,random_forest_alpha_0.1_fullfeatures_top2_cv_auc,-1.0,0.9145869112035285,0.6581744558800756,0.4276466550018538,0.8216340621403913,0.13221884498480244,0.2312440645773979,0.9720558882235529,0.37360951285001914,5.24937873540668,0.04405170139804801,0.2312440645773979,501.0,0.04036087369420703,0.7589285714285714,0.07664562669071236,4.098430504680505,0.009847885342477799,0.04036087369420703,112.0,0.029439696106362774,0.6458333333333334,0.056312443233424166,3.4876839981006644,0.008441044579266685,0.029439696106362774,96.0,0.019943019943019943,0.5121951219512195,0.038391224862888484,2.765999583072754,0.0072100589114569595,0.019943019943019943,82.0,0.018043684710351376,0.48717948717948717,0.03479853479853479,2.6309080283439257,0.006858348720654181,0.018043684710351376,78.0,0.0,/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_10/lightning_logs/cv_model_comparison_threshold_10_20260720_124420_full_retraining/random_forest_alpha_0.1_fullfeatures_top2_cv_auc/metrics.json
10,random_forest,1.5,random_forest_alpha_1.5_fullfeatures_top2_cv_auprc,-1.0,0.9141292571554489,0.6947927536340259,0.41397183832757617,0.8181818181818182,0.09223024316109422,0.28894173602853745,0.9700598802395209,0.44525881814017404,6.55915042685141,0.04405170139804801,0.28894173602853745,501.0,0.05172413793103448,0.7767857142857143,0.09698996655518395,5.252309113300492,0.009847885342477799,0.05172413793103448,112.0,0.03626634958382877,0.6354166666666666,0.0686164229471316,4.296429102259214,0.008441044579266685,0.03626634958382877,96.0,0.023781212841854936,0.4878048780487805,0.045351473922902494,3.298338215248978,0.0072100589114569595,0.023781212841854936,82.0,0.021997621878715814,0.47435897435897434,0.042045454545454546,3.2074224823927557,0.006858348720654181,0.021997621878715814,78.0,0.0,/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_10/lightning_logs/cv_model_comparison_threshold_10_20260720_124420_full_retraining/random_forest_alpha_1.5_fullfeatures_top2_cv_auprc/metrics.json
10,random_forest,2.0,"random_forest_alpha_2.0_fullfeatures_top2_cv_auc,top2_cv_auprc",-1.0,0.9151668759465689,0.6980001496877496,0.422521069811148,0.8055235903337169,0.08558130699088146,0.30356027482823233,0.9700598802395209,0.46241674595623217,6.891000011220531,0.04405170139804801,0.30356027482823233,501.0,0.05309181761399125,0.7589285714285714,0.099241097489784,5.391189658249308,0.009847885342477799,0.05309181761399125,112.0,0.037476577139287946,0.625,0.07071302298173247,4.439803247970018,0.008441044579266685,0.037476577139287946,96.0,0.022485946283572766,0.43902439024390244,0.0427807486631016,3.118691061988696,0.0072100589114569595,0.022485946283572766,82.0,0.02061211742660837,0.4230769230769231,0.03930911256700417,3.0054052755489358,0.006858348720654181,0.02061211742660837,78.0,0.0,"/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_10/lightning_logs/cv_model_comparison_threshold_10_20260720_124420_full_retraining/random_forest_alpha_2.0_fullfeatures_top2_cv_auc,top2_cv_auprc/metrics.json"
15,catboost,0.5,catboost_alpha_0.5_fullfeatures_top2_cv_auprc,146.0,0.8550748721611068,0.3065641581162831,0.5169899013728628,0.6153846153846154,0.0848955543652919,0.059757236227824466,0.810126582278481,0.11130434782608696,8.60277275467149,0.006946276268354876,0.059757236227824466,79.0,0.017740429505135387,0.5588235294117647,0.03438914027149321,5.9341736694677865,0.0029895366218236174,0.017740429505135387,34.0,0.014005602240896359,0.5,0.027247956403269758,5.309523809523809,0.002637826431020839,0.014005602240896359,30.0,0.011204481792717087,0.4444444444444444,0.021857923497267756,4.719576719576719,0.002374043787918755,0.011204481792717087,27.0,0.009337068160597572,0.4,0.01824817518248175,4.247619047619048,0.0021981886925173657,0.009337068160597572,25.0,0.0,/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_15/lightning_logs/cv_model_comparison_threshold_15_20260720_124420_full_retraining/catboost_alpha_0.5_fullfeatures_top2_cv_auprc/metrics.json
15,random_forest,0.1,random_forest_alpha_0.1_fullfeatures_top2_cv_auc,-1.0,0.9153795796538164,0.18088396299484474,0.300470521631195,0.8666666666666667,0.14881271201571147,0.04302832244008715,1.0,0.08250652741514361,6.194444444444445,0.006946276268354876,0.04302832244008715,79.0,0.01579520697167756,0.8529411764705882,0.03101604278074866,5.283496732026144,0.0029895366218236174,0.01579520697167756,34.0,0.013616557734204794,0.8333333333333334,0.026795284030010722,5.162037037037037,0.002637826431020839,0.013616557734204794,30.0,0.00980392156862745,0.6666666666666666,0.01932367149758454,4.129629629629629,0.002374043787918755,0.00980392156862745,27.0,0.00980392156862745,0.72,0.01934443847393874,4.46,0.0021981886925173657,0.00980392156862745,25.0,0.0,/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_15/lightning_logs/cv_model_comparison_threshold_15_20260720_124420_full_retraining/random_forest_alpha_0.1_fullfeatures_top2_cv_auc/metrics.json
15,random_forest,0.3,random_forest_alpha_0.3_fullfeatures_top2_cv_auc,-1.0,0.8903826697613522,0.1280528583134959,0.2547874901203161,0.8512820512820513,0.21094447420103554,0.03084223013048636,0.9873417721518988,0.0598159509202454,4.44010991486103,0.006946276268354876,0.03084223013048636,79.0,0.011071569790431,0.8235294117647058,0.021849395239953176,3.7034400948991695,0.0029895366218236174,0.011071569790431,34.0,0.009885330170027679,0.8333333333333334,0.019538882375928095,3.747528667457493,0.002637826431020839,0.009885330170027679,30.0,0.006722024515618822,0.6296296296296297,0.013302034428794993,2.831466104301217,0.002374043787918755,0.006722024515618822,27.0,0.0071174377224199285,0.72,0.014095536413469069,3.237864768683274,0.0021981886925173657,0.0071174377224199285,25.0,0.0,/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_15/lightning_logs/cv_model_comparison_threshold_15_20260720_124420_full_retraining/random_forest_alpha_0.3_fullfeatures_top2_cv_auc/metrics.json
15,random_forest,2.0,random_forest_alpha_2.0_fullfeatures_top2_cv_auprc,-1.0,0.9033968293207715,0.14263006632601033,0.27636979027846204,0.8358974358974359,0.2088019996429209,0.030775379696243006,0.9746835443037974,0.059666795815575366,4.430485990954072,0.006946276268354876,0.030775379696243006,79.0,0.010391686650679457,0.7647058823529411,0.02050473186119874,3.4760191846522783,0.0029895366218236174,0.010391686650679457,34.0,0.009992006394884092,0.8333333333333334,0.019747235387045814,3.7879696243005587,0.002637826431020839,0.009992006394884092,30.0,0.006794564348521183,0.6296296296296297,0.01344404903123764,2.862021493915978,0.002374043787918755,0.006794564348521183,27.0,0.007194244604316547,0.72,0.014246141669964386,3.2728057553956837,0.0021981886925173657,0.007194244604316547,25.0,0.0,/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_15/lightning_logs/cv_model_comparison_threshold_15_20260720_124420_full_retraining/random_forest_alpha_2.0_fullfeatures_top2_cv_auprc/metrics.json
20,random_forest,1.0,"random_forest_alpha_1.0_fullfeatures_top2_cv_auc,top2_cv_auprc",-1.0,0.9889947605802278,0.6610922203462325,0.20186205414297065,1.0,0.03963360930068698,0.02028397565922921,1.0,0.039761431411530816,23.068965517241377,0.0008792754770069463,0.02028397565922921,10.0,0.02028397565922921,1.0,0.039761431411530816,23.068965517241377,0.0008792754770069463,0.02028397565922921,10.0,0.02028397565922921,1.0,0.039761431411530816,23.068965517241377,0.0008792754770069463,0.02028397565922921,10.0,0.016227180527383367,1.0,0.031936127744510975,23.06896551724138,0.000703420381605557,0.016227180527383367,8.0,0.010141987829614604,1.0,0.020080321285140566,23.068965517241377,0.00043963773850347316,0.010141987829614604,5.0,0.0,"/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_20/lightning_logs/cv_model_comparison_threshold_20_20260720_124420_full_retraining/random_forest_alpha_1.0_fullfeatures_top2_cv_auc,top2_cv_auprc/metrics.json"
20,random_forest,1.5,"random_forest_alpha_1.5_fullfeatures_top2_cv_auc,top2_cv_auprc",-1.0,0.9875835173343275,0.5395216124248889,0.21412170904971206,1.0,0.0393693852386824,0.02040816326530612,1.0,0.039999999999999994,23.21020408163265,0.0008792754770069463,0.02040816326530612,10.0,0.02040816326530612,1.0,0.039999999999999994,23.21020408163265,0.0008792754770069463,0.02040816326530612,10.0,0.02040816326530612,1.0,0.039999999999999994,23.21020408163265,0.0008792754770069463,0.02040816326530612,10.0,0.0163265306122449,1.0,0.032128514056224904,23.210204081632657,0.000703420381605557,0.0163265306122449,8.0,0.01020408163265306,1.0,0.020202020202020204,23.21020408163265,0.00043963773850347316,0.01020408163265306,5.0,0.0,"/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_20/lightning_logs/cv_model_comparison_threshold_20_20260720_124420_full_retraining/random_forest_alpha_1.5_fullfeatures_top2_cv_auc,top2_cv_auprc/metrics.json"
25,lightgbm,2.0,"lightgbm_alpha_2.0_fullfeatures_top2_cv_auc,top2_cv_auprc",1.0,0.8814736656994637,0.017557236427201337,0.03903289391183491,0.875,0.09232392508572936,0.003734827264239029,1.0,0.0074418604651162795,10.61904761904762,0.0003517101908027785,0.003734827264239029,4.0,0.004668534080298786,1.0,0.00929368029739777,10.619047619047619,0.00043963773850347316,0.004668534080298786,5.0,0.003734827264239029,0.8,0.007434944237918216,8.495238095238095,0.00043963773850347316,0.003734827264239029,5.0,0.0028011204481792717,0.6,0.0055762081784386614,6.371428571428571,0.00043963773850347316,0.0028011204481792717,5.0,0.004668534080298786,1.0,0.00929368029739777,10.619047619047619,0.00043963773850347316,0.004668534080298786,5.0,0.0,"/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_25/lightning_logs/cv_model_comparison_threshold_25_20260720_124420_full_retraining/lightgbm_alpha_2.0_fullfeatures_top2_cv_auc,top2_cv_auprc/metrics.json"
25,random_forest,0.5,random_forest_alpha_0.5_fullfeatures_top2_cv_auc,-1.0,0.9986261320671767,0.4552439427767815,0.1623943491069175,1.0,0.005627363052844456,0.045454545454545456,1.0,0.08695652173913045,129.23863636363637,0.0003517101908027785,0.045454545454545456,4.0,0.056818181818181816,1.0,0.1075268817204301,129.23863636363635,0.00043963773850347316,0.056818181818181816,5.0,0.056818181818181816,1.0,0.1075268817204301,129.23863636363635,0.00043963773850347316,0.056818181818181816,5.0,0.056818181818181816,1.0,0.1075268817204301,129.23863636363635,0.00043963773850347316,0.056818181818181816,5.0,0.056818181818181816,1.0,0.1075268817204301,129.23863636363635,0.00043963773850347316,0.056818181818181816,5.0,0.0,/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_25/lightning_logs/cv_model_comparison_threshold_25_20260720_124420_full_retraining/random_forest_alpha_0.5_fullfeatures_top2_cv_auc/metrics.json
25,xgboost,0.3,xgboost_alpha_0.3_fullfeatures_top2_cv_auprc,0.0,0.8849724493683871,0.4508119848854913,0.5049751400947571,0.8333333333333334,0.0014947683109118087,0.10810810810810811,1.0,0.1951219512195122,307.3783783783784,0.0003517101908027785,0.10810810810810811,4.0,0.05405405405405406,0.4,0.09523809523809523,122.95135135135135,0.00043963773850347316,0.05405405405405406,5.0,0.10810810810810811,0.8,0.19047619047619047,245.9027027027027,0.00043963773850347316,0.10810810810810811,5.0,0.13513513513513514,1.0,0.2380952380952381,307.3783783783784,0.00043963773850347316,0.13513513513513514,5.0,0.13513513513513514,1.0,0.2380952380952381,307.3783783783784,0.00043963773850347316,0.13513513513513514,5.0,0.0,/Users/johnnyjheng/Documents/Codex/Stablecoin Depag/onchain-insights/8. Early-Warning Model/Robustness Check/threshold_25/lightning_logs/cv_model_comparison_threshold_25_20260720_124420_full_retraining/xgboost_alpha_0.3_fullfeatures_top2_cv_auprc/metrics.json
