target_threshold_bps,n_rows,positive_hours,positive_rate,full_target_episodes,cv_test_positive_hours_min,cv_test_positive_hours_max,cv_test_target_episodes_min,cv_test_target_episodes_max
10,37990,5580,0.1468807581,69,869,1206,15,19
15,37990,2227,0.0586206897,41,195,425,5,8
20,37990,999,0.0262963938,17,43,139,1,3
25,37990,603,0.0158725981,7,24,24,1,1
