target_threshold_bps,alpha,model_name,cv_auc_mean,cv_auprc_mean,selection_reason
10,2.0,random_forest,0.928450850860444,0.7653831780087987,"top2_cv_auc,top2_cv_auprc"
10,0.1,random_forest,0.9252738338343562,0.7616014427049127,top2_cv_auc
10,1.5,random_forest,0.9244875932704504,0.762633340387978,top2_cv_auprc
15,0.1,random_forest,0.9069952105842208,0.3035779547112306,top2_cv_auc
15,0.3,random_forest,0.9009873984008818,0.2459107050076114,top2_cv_auc
15,2.0,random_forest,0.8950727172482729,0.3230842750070741,top2_cv_auprc
15,0.5,catboost,0.8814203338341825,0.3362507885144767,top2_cv_auprc
20,1.0,random_forest,0.9847067137851914,0.4900752156394087,"top2_cv_auc,top2_cv_auprc"
20,1.5,random_forest,0.98278033318365,0.3502476408440502,"top2_cv_auc,top2_cv_auprc"
25,2.0,lightgbm,0.9925078402063364,0.1493291543978661,"top2_cv_auc,top2_cv_auprc"
25,0.5,random_forest,0.9899059175239602,0.1034198438067828,top2_cv_auc
25,0.3,xgboost,0.9611715613001554,0.1503299672129205,top2_cv_auprc
