fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,1.0,25834,18084,7726,11397,860,24974,139,11258,28.120772946859905,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.7793361331542333,0.03297702794565252,0.028616834052957566,1.0,0.3053828388701368,0.03885937936818563,3.1861895443108748,0.012196191980345704
2,lightgbm,1.0,26018,18213,7781,11397,860,25158,139,11258,28.32850241545894,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.718337783139983,0.023792806279693574,0.024175163436205262,1.0,0.4024693551252443,0.029764453961456102,2.440471092077088,0.012196191980345704
3,lightgbm,1.0,26202,18342,7836,11397,866,25336,109,11288,28.536231884057973,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.8239179058381394,0.027550651341093326,0.036143491528327326,1.0,0.24246987951807228,0.03829936753338018,4.0045678144764585,0.00956392032991138
4,lightgbm,1.0,26385,18470,7891,11397,956,25429,43,11354,28.74235104669887,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.47133476164531707,0.004995914165917923,0.03266544979363894,1.0,0.7518055310903646,0.005012239188716633,1.3284765124140343,0.0037729226989558656
5,lightgbm,1.0,26569,18599,7946,11397,956,25613,43,11354,28.950080515297905,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.8743839892507915,0.027875577297229504,0.03006955047186159,1.0,0.2466091245376079,0.015124868097080548,4.008793527963419,0.0037729226989558656
