fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,catboost,2.0,25866,18107,7759,11412,1802,24064,425,10987,14.0016570008285,2024-12-15 00:00:00+00:00,2024-12-15 01:00:00+00:00,2026-04-04 12:00:00+00:00,0.9038416524341603,0.39450895574284045,0.4970014398852698,0.7764705882352941,0.11422590334031128,0.2082018927444795,5.590588235294118,0.03724150017525412
2,catboost,2.0,26056,18240,7816,11412,1844,24212,383,11029,14.111847555923777,2024-12-22 22:00:00+00:00,2024-12-22 23:00:00+00:00,2026-04-12 10:00:00+00:00,0.8079457977745356,0.1352925107987769,0.5010235950265942,0.835509138381201,0.24798259135007708,0.10474631751227496,3.121057377154261,0.03356116368734665
3,catboost,2.0,26246,18373,7873,11412,1973,24273,254,11158,13.925264012997562,2024-12-30 20:00:00+00:00,2024-12-30 21:00:00+00:00,2026-04-20 08:00:00+00:00,0.7945411505180421,0.07684475753282503,0.4895109691199214,0.7401574803149606,0.19286610503674492,0.08034188034188035,3.6096910963052697,0.02225727304591658
4,catboost,2.0,26436,18506,7930,11412,2032,24404,195,11217,14.033306255077173,2025-01-07 18:00:00+00:00,2025-01-07 19:00:00+00:00,2026-04-28 06:00:00+00:00,0.7454902471751896,0.042681248461229004,0.4904572083961273,0.8,0.3434964785593296,0.03891244699426291,2.2772761287104015,0.01708727655099895
5,catboost,2.0,26626,18639,7987,11412,2032,24594,195,11217,14.141348497156782,2025-01-15 16:00:00+00:00,2025-01-15 17:00:00+00:00,2026-05-06 04:00:00+00:00,0.7688446794357466,0.050980310576633756,0.4890236651834926,0.8,0.3208522777926362,0.04154460719041278,2.4313182423435418,0.01708727655099895
