model_name,alpha,n_splits,cv_test_frac,cv_min_train_frac,cv_auc_mean,cv_auc_std,cv_auprc_mean,cv_auprc_std,cv_lift_at_best_threshold_mean,cv_lift_at_best_threshold_std,cv_best_threshold_youdenJ_mean,cv_best_threshold_youdenJ_std,cv_tpr_at_best_threshold_mean,cv_tpr_at_best_threshold_std,cv_fpr_at_best_threshold_mean,cv_fpr_at_best_threshold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,fold_1_auprc,fold_2_auprc,fold_3_auprc,fold_4_auprc,fold_5_auprc
random_forest,1.0,5,0.3,0.68,0.8932111145362456,0.02194734602477361,0.2953150421459939,0.03382497975479117,4.86740571627534,1.1862593518665443,0.21198334182455997,0.029041631625349652,0.8043470779937826,0.018588089078871422,0.15912564502104526,0.051662159790001015,0.8928650468572409,0.9277947222168226,0.9047295306430878,0.8743832374255514,0.8662830355385256,0.24973131107233593,0.3444844180769222,0.32253560809430765,0.27771288167543995,0.2821109918109637
catboost,1.0,5,0.3,0.68,0.8505029067808435,0.04816728053066533,0.2544813096437661,0.16547908000493533,4.378835365850862,1.5071554971820087,0.483780803728182,0.10715646998041779,0.8068153325116196,0.0918223109678325,0.20623295652596427,0.1142392922547451,0.8866307820977463,0.9018859690088239,0.7630183331572443,0.8513385888051127,0.8496408608352904,0.4990565506066696,0.38952380844337897,0.04597452699339377,0.1882719726819063,0.14957968949348205
xgboost,1.0,5,0.3,0.68,0.7965990449317705,0.053560095824642454,0.13342306950833122,0.057174947472634734,3.1427779421063127,1.3164191182051586,0.2925550533458591,0.22864012384174606,0.8243386008842692,0.07883023279715856,0.30298756445771413,0.13467880086881384,0.7539114537539404,0.8811765087965424,0.7796918793241596,0.8329437508869754,0.7352716318972345,0.11280522659428087,0.2418810882615416,0.1366297068631382,0.08700742004118904,0.08879190578150627
lightgbm,1.0,5,0.3,0.68,0.6193532687026213,0.11103247801550949,0.03540523257639785,0.006980338068602386,1.7842562992858457,0.33407762044111733,0.05915157081151643,0.005872908304689215,0.8302375570066385,0.0840395388169378,0.47101187348275725,0.08961943924148541,0.5950434260470503,0.41276531032661495,0.6774559979945546,0.7115174030278475,0.6999842061170395,0.04714203444239548,0.029668935488487473,0.03959612445425593,0.03162713012845448,0.028991938368395895
