fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,0.1,25834,18084,7726,11397,579,25255,24,11373,34.52848722986248,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.9290937600750315,0.01475202599277409,0.015975399758330917,1.0,0.1570386001934406,0.013259668508287293,6.296685082872928,0.0021058173203474598
2,lightgbm,0.1,26018,18213,7781,11397,579,25439,24,11373,34.781925343811395,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.8620856414314605,0.007482153165684841,0.010126413873708138,1.0,0.22034643453794073,0.009486166007905139,4.504743083003953,0.0021058173203474598
3,lightgbm,0.1,26202,18342,7836,11397,579,25623,24,11373,35.03536345776031,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9209476391453443,0.013438551075939094,0.017530080250026423,1.0,0.1700518772531434,0.012257405515832482,5.82073544433095,0.0021058173203474598
4,lightgbm,0.1,26385,18470,7891,11397,579,25806,24,11373,35.286836935166995,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9219166739939624,0.013366027061520213,0.014649333070021925,1.0,0.15123538204519477,0.013761467889908258,6.534977064220184,0.0021058173203474598
5,lightgbm,0.1,26569,18599,7946,11397,579,25990,24,11373,35.54027504911591,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9283134030891877,0.015112826073218155,0.015110897016675763,1.0,0.18737360415018026,0.011136890951276101,5.288631090487239,0.0021058173203474598
