time_to_depeg_bin,min_hours_ahead,max_hours_ahead,threshold,n_valid,n_alerts,alert_rate,n_events_bin,n_alert_events_bin,precision,recall,f1,base_event_rate,alert_conditioned_event_rate,lift
1-4h,1.0,4.0,0.2547874901203161,11373,2529,0.2223687681350567,79,78,0.03084223013048636,0.9873417721518988,0.0598159509202454,0.006946276268354876,0.03084223013048636,4.44010991486103
5-9h,5.0,9.0,0.2547874901203161,11373,2529,0.2223687681350567,34,28,0.011071569790431,0.8235294117647058,0.021849395239953176,0.0029895366218236174,0.011071569790431,3.7034400948991695
10-14h,10.0,14.0,0.2547874901203161,11373,2529,0.2223687681350567,30,25,0.009885330170027679,0.8333333333333334,0.019538882375928095,0.002637826431020839,0.009885330170027679,3.747528667457493
15-19h,15.0,19.0,0.2547874901203161,11373,2529,0.2223687681350567,27,17,0.006722024515618822,0.6296296296296297,0.013302034428794993,0.002374043787918755,0.006722024515618822,2.831466104301217
20-24h,20.0,24.0,0.2547874901203161,11373,2529,0.2223687681350567,25,18,0.0071174377224199285,0.72,0.014095536413469069,0.0021981886925173657,0.0071174377224199285,3.237864768683274
positive_target_but_no_reconstructed_crossing,,,0.2547874901203161,11373,2529,0.2223687681350567,0,0,,,,,,
