fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,2.0,24694,17286,7408,11397,1574,23120,653,10744,13.624365482233502,2024-10-27 04:00:00+00:00,2024-10-27 05:00:00+00:00,2026-02-14 01:00:00+00:00,0.6165508239079841,0.12244188827432029,0.04352332513059663,0.4869831546707504,0.13244601638123604,0.1826536473291212,3.1879075323277095,0.05729577959112047
2,lightgbm,2.0,25169,17619,7550,11397,1669,23500,558,10839,13.906091370558375,2024-11-15 23:00:00+00:00,2024-11-16 00:00:00+00:00,2026-03-05 20:00:00+00:00,0.7267655859747144,0.10000709973441452,0.035628144525929134,0.8799283154121864,0.4088938093920103,0.09973593337395897,2.037079628428334,0.048960252698078445
3,lightgbm,2.0,25644,17951,7693,11397,1770,23874,457,10940,13.872410936205467,2024-12-05 18:00:00+00:00,2024-12-05 19:00:00+00:00,2026-03-25 15:00:00+00:00,0.8293521655819089,0.1432021900873347,0.04882328450749815,0.8008752735229759,0.21764168190127972,0.13323625773571168,3.3227431715840394,0.04009827147494955
4,lightgbm,2.0,26118,18283,7835,11397,1873,24245,354,11043,14.147473073736537,2024-12-25 12:00:00+00:00,2024-12-25 13:00:00+00:00,2026-04-14 09:00:00+00:00,0.8512169429108912,0.14823691295266514,0.05876624651662218,0.9011299435028248,0.23200217332246673,0.11072544255466851,3.5647962395354718,0.031060805475125033
5,lightgbm,2.0,26593,18616,7977,11397,2032,24561,195,11202,14.122664500406174,2025-01-14 07:00:00+00:00,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.7407358576078448,0.03534530876046542,0.06562817297387545,0.8615384615384616,0.36261381896089984,0.03971631205673759,2.32126568466994,0.01710976572782311
