model_name,alpha,n_splits,cv_test_frac,cv_min_train_frac,cv_auc_mean,cv_auc_std,cv_auprc_mean,cv_auprc_std,cv_lift_at_best_threshold_mean,cv_lift_at_best_threshold_std,cv_best_threshold_youdenJ_mean,cv_best_threshold_youdenJ_std,cv_tpr_at_best_threshold_mean,cv_tpr_at_best_threshold_std,cv_fpr_at_best_threshold_mean,cv_fpr_at_best_threshold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,fold_1_auprc,fold_2_auprc,fold_3_auprc,fold_4_auprc,fold_5_auprc
random_forest,0.1,5,0.3,0.68,0.9069952105842208,0.01708361287509969,0.3035779547112306,0.08171150839545785,5.561551718207723,0.4310416095501352,0.23192073760677534,0.00475452622962881,0.8106489425330196,0.03547504443753858,0.128616583673214,0.015076597809231469,0.9086513263708691,0.9326477907775577,0.9170381487428889,0.8882227990422956,0.8884159879874931,0.3592564422201371,0.4282789883997484,0.2916009713496003,0.20505439998017108,0.2336989716064963
catboost,0.1,5,0.3,0.68,0.8694596094550645,0.030864208315871125,0.27753491498173904,0.09977593699812275,6.306407482696881,1.2359800394348412,0.5279332656585296,0.04412664071455195,0.7122340550794228,0.07813615771775086,0.10096150454325728,0.02243293029971597,0.8883156054984881,0.8932030963677371,0.9014785566305368,0.8363053300921539,0.8279954586864068,0.41092524083263243,0.23751865322807356,0.367913384229609,0.23728782283756394,0.13402947378081626
xgboost,0.1,5,0.3,0.68,0.7849957379422904,0.06546150296861718,0.1214904480606038,0.04619920960203533,2.7206953390344686,0.9587107658782315,0.36691962108016013,0.17779766638204578,0.8573046440103538,0.030336792193079817,0.3401015247059615,0.11927090327593996,0.711169929874976,0.8909555415111364,0.7211392386788472,0.8100085149629874,0.7917054646835042,0.07868411923898845,0.18549268071830408,0.14904804178290929,0.1344988202057662,0.05972857835705106
lightgbm,0.1,5,0.3,0.68,0.6582683484800592,0.12575356080039288,0.06015825860089156,0.03294654572690437,2.5336084937755685,1.2955019005616515,0.06936318949813204,0.006732225168958908,0.7885083385427037,0.0969075478137136,0.3692711474955298,0.15904817461433018,0.46546642791276194,0.6155441377482539,0.8413009211530524,0.6335585678381608,0.735471687748067,0.03719121817386385,0.06186042084873234,0.11958777289323554,0.023231401035943258,0.05892048005268276
