fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,random_forest,0.3,25834,18084,7726,11397,860,24974,139,11258,28.120772946859905,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.9688132244249014,0.1499733345953465,0.25242766951526596,1.0,0.056493160419257414,0.17935483870967742,14.705806451612904,0.012196191980345704
2,random_forest,0.3,26018,18213,7781,11397,860,25158,139,11258,28.32850241545894,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.9793566461451554,0.23409244323231687,0.23486309522654442,1.0,0.06128974951145852,0.16767189384800965,13.74788902291918,0.012196191980345704
3,random_forest,0.3,26202,18342,7836,11397,866,25336,109,11288,28.536231884057973,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.974747885226822,0.15215449316925744,0.2509600067660118,1.0,0.047749822820694544,0.16820987654320987,17.587962962962965,0.00956392032991138
4,random_forest,0.3,26385,18470,7891,11397,956,25429,43,11354,28.74235104669887,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9832412304238646,0.15108489511604847,0.23624957671560268,1.0,0.04764840584815924,0.07363013698630137,19.51541095890411,0.0037729226989558656
5,random_forest,0.3,26569,18599,7946,11397,956,25613,43,11354,28.950080515297905,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9820184260438899,0.15368648422702647,0.22927223522442197,1.0,0.053285185837590274,0.06635802469135803,17.587962962962965,0.0037729226989558656
