fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,1.5,25866,18107,7759,11412,1802,24064,425,10987,14.0016570008285,2024-12-15 00:00:00+00:00,2024-12-15 01:00:00+00:00,2026-04-04 12:00:00+00:00,0.2370539514613527,0.03346567370693995,0.07581485609644383,0.04,0.035951579138982434,0.0412621359223301,1.1079611650485437,0.03724150017525412
2,lightgbm,1.5,26056,18240,7816,11412,1844,24212,383,11029,14.111847555923777,2024-12-22 22:00:00+00:00,2024-12-22 23:00:00+00:00,2026-04-12 10:00:00+00:00,0.22056413343696074,0.031262962466490046,0.07534258352178934,0.044386422976501305,0.036086680569407927,0.04096385542168675,1.220573154235742,0.03356116368734665
3,lightgbm,1.5,26246,18373,7873,11412,1973,24273,254,11158,13.925264012997562,2024-12-30 20:00:00+00:00,2024-12-30 21:00:00+00:00,2026-04-20 08:00:00+00:00,0.23765106918096968,0.020872264543040614,0.07614641677941955,0.06692913385826772,0.03629682738842086,0.04028436018957346,1.809941411352017,0.02225727304591658
4,lightgbm,1.5,26436,18506,7930,11412,2032,24404,195,11217,14.033306255077173,2025-01-07 18:00:00+00:00,2025-01-07 19:00:00+00:00,2026-04-28 06:00:00+00:00,0.7803521669261172,0.0728592318816718,0.07577286810874022,0.7230769230769231,0.1651956851207988,0.07071213640922769,4.13829179847234,0.01708727655099895
5,lightgbm,1.5,26626,18639,7987,11412,2032,24594,195,11217,14.141348497156782,2025-01-15 16:00:00+00:00,2025-01-15 17:00:00+00:00,2026-05-06 04:00:00+00:00,0.6678848268310691,0.026605307834028185,0.06546169566597917,1.0,0.5692252830525096,0.029635258358662615,1.7343465045592705,0.01708727655099895
