fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,2.0,25834,18084,7726,11397,860,24974,139,11258,28.120772946859905,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.85625665394137,0.0451520922193803,0.03321667405808484,1.0,0.254308047610588,0.046302465023317786,3.796469020652898,0.012196191980345704
2,lightgbm,2.0,26018,18213,7781,11397,860,25158,139,11258,28.32850241545894,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.8457806503065446,0.04749492949874497,0.02844072045152799,1.0,0.2836205365073725,0.04171668667466987,3.4204681872749103,0.012196191980345704
3,lightgbm,2.0,26202,18342,7836,11397,866,25336,109,11288,28.536231884057973,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.8647122217959805,0.038967491449115994,0.03163371695893052,1.0,0.2445074415308292,0.03799233182293482,3.9724642732659468,0.00956392032991138
4,lightgbm,2.0,26385,18470,7891,11397,956,25429,43,11354,28.74235104669887,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.7681526027094232,0.01147022038784402,0.036333480009519664,1.0,0.38664787740003526,0.009699977441912927,2.57094518384841,0.0037729226989558656
5,lightgbm,2.0,26569,18599,7946,11397,956,25613,43,11354,28.950080515297905,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.832175731531967,0.012372114716308058,0.03510040250372473,0.9302325581395349,0.22318125770653513,0.01554001554001554,4.118826909524584,0.0037729226989558656
