fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,xgboost,1.0,25834,18084,7726,11397,579,25255,24,11373,34.52848722986248,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.9830849380110789,0.07424853387594399,0.4758716821670532,1.0,0.056361558076145256,0.03609022556390978,17.138345864661655,0.0021058173203474598
2,xgboost,1.0,26018,18213,7781,11397,579,25439,24,11373,34.781925343811395,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.9821855124710572,0.0724864294851848,0.4712553322315216,1.0,0.052404818429613996,0.03870967741935484,18.38225806451613,0.0021058173203474598
3,xgboost,1.0,26202,18342,7836,11397,579,25623,24,11373,35.03536345776031,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.98840089099915,0.10603306172969866,0.4632738530635834,1.0,0.03877604853600633,0.05161290322580645,24.50967741935484,0.0021058173203474598
4,xgboost,1.0,26385,18470,7891,11397,579,25806,24,11373,35.286836935166995,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9883825727600457,0.10821874204227146,0.46325793862342834,1.0,0.03481930888947507,0.05714285714285714,27.135714285714286,0.0021058173203474598
5,xgboost,1.0,26569,18599,7946,11397,579,25990,24,11373,35.54027504911591,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9874739881004719,0.10664572981430771,0.45015376806259155,1.0,0.04598610744746329,0.043875685557586835,20.83546617915905,0.0021058173203474598
