fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,catboost,1.0,25834,18084,7726,11397,579,25255,24,11373,34.52848722986248,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.9876498431958732,0.17181924882629107,0.495545394813101,1.0,0.02910401828892992,0.0676056338028169,32.10422535211267,0.0021058173203474598
2,catboost,1.0,26018,18213,7781,11397,579,25439,24,11373,34.781925343811395,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.9717093115273014,0.049815685591547657,0.4843919127752632,1.0,0.0539875142882265,0.03761755485893417,17.863636363636367,0.0021058173203474598
3,catboost,1.0,26202,18342,7836,11397,579,25623,24,11373,35.03536345776031,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.917164922770304,0.017735735885957324,0.4787346215616808,1.0,0.13690319176998153,0.015180265654648957,7.208728652751423,0.0021058173203474598
4,catboost,1.0,26385,18470,7891,11397,579,25806,24,11373,35.286836935166995,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9924345672499194,0.1312047986197437,0.3759572791350881,1.0,0.020223335971159766,0.09448818897637795,44.87007874015748,0.0021058173203474598
5,catboost,1.0,26569,18599,7946,11397,579,25990,24,11373,35.54027504911591,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9809050675576658,0.06254367436327284,0.4134559435024861,1.0,0.06357161698760222,0.0321285140562249,15.257028112449799,0.0021058173203474598
