fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,catboost,0.3,25834,18084,7726,11397,860,24974,139,11258,28.120772946859905,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.9534310373694294,0.11907056093268473,0.48932321553655267,0.9928057553956835,0.15002664771717888,0.0755336617405583,6.19321685508736,0.012196191980345704
2,catboost,0.3,26018,18213,7781,11397,860,25158,139,11258,28.32850241545894,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.927766473976619,0.07608936918443956,0.4968581578378075,0.9928057553956835,0.1780955764789483,0.06439570695286981,5.279984691668037,0.012196191980345704
3,catboost,0.3,26202,18342,7836,11397,866,25336,109,11288,28.536231884057973,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9772909771845071,0.2253025184484476,0.13124833021816215,0.9908256880733946,0.09372785258681786,0.09262435677530018,9.684768753835744,0.00956392032991138
4,catboost,0.3,26385,18470,7891,11397,956,25429,43,11354,28.74235104669887,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9869833805113247,0.24780108955220817,0.34603811043272764,1.0,0.054694380834948035,0.06475903614457831,17.164156626506024,0.0037729226989558656
5,catboost,0.3,26569,18599,7946,11397,956,25613,43,11354,28.950080515297905,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9844230698329858,0.1705410422481759,0.21664426978497728,1.0,0.060331160824379074,0.059065934065934064,15.65521978021978,0.0037729226989558656
