model_name,alpha,n_splits,cv_test_frac,cv_min_train_frac,cv_auc_mean,cv_auc_std,cv_auprc_mean,cv_auprc_std,cv_lift_at_best_threshold_mean,cv_lift_at_best_threshold_std,cv_best_threshold_youdenJ_mean,cv_best_threshold_youdenJ_std,cv_tpr_at_best_threshold_mean,cv_tpr_at_best_threshold_std,cv_fpr_at_best_threshold_mean,cv_fpr_at_best_threshold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,fold_1_auprc,fold_2_auprc,fold_3_auprc,fold_4_auprc,fold_5_auprc
random_forest,0.5,5,0.3,0.68,0.9222856537807429,0.005804152607323598,0.7595574311528448,0.023125992293002197,5.514005509205765,0.5518953440466726,0.4240865662159824,0.023446386315515128,0.7968915708012135,0.011904716870491413,0.0821225684424772,0.018457030507453544,0.9245084719339878,0.9297241712712347,0.9244864461230473,0.9122944206204214,0.920414758955023,0.7778115902772113,0.7912355127313644,0.7594443734812917,0.7277068692851628,0.7415888099891935
catboost,0.5,5,0.3,0.68,0.9041923243092086,0.0061589009299561365,0.7058061619096897,0.033616298599122435,5.25563260977115,0.27184631413370813,0.6992989877038024,0.02373771332649891,0.7824708432518992,0.012074189233668368,0.08712838929904265,0.008126472109839612,0.9090772546191946,0.9104122676368869,0.9038963462115052,0.8929309853091937,0.9046447677692628,0.751244749771277,0.7308727843543913,0.7100471074367946,0.6598950132218074,0.6769711547641782
lightgbm,0.5,5,0.3,0.68,0.8692924689875794,0.030034773584798058,0.5969156964832372,0.16528278322484397,4.263817930888189,1.1085959043723974,0.25652288243995136,0.08248493176721639,0.7453118704877981,0.06920087020072245,0.14505002009900356,0.10208415062049835,0.8953111653650759,0.8659827609594274,0.8842013635942036,0.8885143288132655,0.8124527262059245,0.7126071275616934,0.6599457773075375,0.679495682155836,0.6640982152313898,0.26843168015972974
xgboost,0.5,5,0.3,0.68,0.8616150116442896,0.01019537169892696,0.5813761898610427,0.06279171633969446,4.830757724716905,1.0022633457698222,0.5719918251037598,0.03290582147485195,0.6741638674383719,0.03792641492393919,0.09603727904600062,0.03658647687279699,0.8718401825302559,0.8509889891526767,0.8702300038179382,0.8476512836110957,0.8673645991094818,0.6797652686186437,0.5034740724224269,0.5914330454400734,0.6073186282147364,0.5248899346093332
