fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,0.3,25834,18084,7726,11397,579,25255,24,11373,34.52848722986248,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.9604802309563586,0.029954992618056255,0.019766408391773415,1.0,0.14042029367800932,0.014805675508945095,7.030845157310302,0.0021058173203474598
2,lightgbm,0.3,26018,18213,7781,11397,579,25439,24,11373,34.781925343811395,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.9390772003868813,0.01698486142924352,0.016356430676097072,1.0,0.11843840675283566,0.0175054704595186,8.312910284463895,0.0021058173203474598
3,lightgbm,0.3,26202,18342,7836,11397,579,25623,24,11373,35.03536345776031,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9073042146604531,0.011576555768190671,0.019005010873465844,1.0,0.16890881913303438,0.012339331619537276,5.859640102827764,0.0021058173203474598
4,lightgbm,0.3,26385,18470,7891,11397,579,25806,24,11373,35.286836935166995,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9641933380228025,0.03018135634750961,0.010664924171156985,1.0,0.10516134705003077,0.019672131147540985,9.341803278688525,0.0021058173203474598
5,lightgbm,0.3,26569,18599,7946,11397,579,25990,24,11373,35.54027504911591,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9342924763328351,0.016843674228920514,0.01720336679822634,1.0,0.16284181834168646,0.01279317697228145,6.075159914712153,0.0021058173203474598
