fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,xgboost,1.5,25834,18084,7726,11397,860,24974,139,11258,28.120772946859905,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.8719826412808286,0.050517473281657496,0.4901276230812073,1.0,0.23041392787351217,0.0508598609586535,4.170142700329309,0.012196191980345704
2,xgboost,1.5,26018,18213,7781,11397,860,25158,139,11258,28.32850241545894,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.743363312547688,0.033010559407000095,0.49012747406959534,1.0,0.3590335761236454,0.03324563501554652,2.725902894044487,0.012196191980345704
3,xgboost,1.5,26202,18342,7836,11397,866,25336,109,11288,28.536231884057973,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.747198047451544,0.02674439441335075,0.49012014269828796,1.0,0.34815733522324593,0.02698687794008418,2.821738053973756,0.00956392032991138
4,xgboost,1.5,26385,18470,7891,11397,956,25429,43,11354,28.74235104669887,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.7581469085784746,0.011241830065359478,0.49077022075653076,1.0,0.33309846750044037,0.011241830065359478,2.9796078431372552,0.0037729226989558656
5,xgboost,1.5,26569,18599,7946,11397,956,25613,43,11354,28.950080515297905,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.7748370618284305,0.011806699615595826,0.49082455039024353,1.0,0.316980799718161,0.011806699615595826,3.129324546952224,0.0037729226989558656
