model_name,alpha,n_splits,cv_test_frac,cv_min_train_frac,cv_auc_mean,cv_auc_std,cv_auprc_mean,cv_auprc_std,cv_lift_at_best_threshold_mean,cv_lift_at_best_threshold_std,cv_best_threshold_youdenJ_mean,cv_best_threshold_youdenJ_std,cv_tpr_at_best_threshold_mean,cv_tpr_at_best_threshold_std,cv_fpr_at_best_threshold_mean,cv_fpr_at_best_threshold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,fold_1_auprc,fold_2_auprc,fold_3_auprc,fold_4_auprc,fold_5_auprc
random_forest,0.5,5,0.3,0.65,0.8722682328101088,0.0282034095101918,0.28376385631917833,0.09837479290520385,4.453927335954414,1.327180305685684,0.2043128563648824,0.04734450554039619,0.7721657495857572,0.09953314413311243,0.18324931510323988,0.11132097597771551,0.8391135933699667,0.852143841385201,0.8914364806643758,0.9169256696089401,0.861721579022061,0.33364387538984064,0.3060544854772734,0.33259468929417535,0.35686323074189974,0.0896630006927023
catboost,0.5,5,0.3,0.65,0.8432998332684551,0.027145880030344356,0.2673765369330872,0.05051497674803514,4.48750258040558,1.5746596154338188,0.4616340333021555,0.13536522682379332,0.7454293675453398,0.123758560794068,0.19845323764550843,0.16132570017979433,0.800647592473708,0.8316391822838078,0.8456688361822392,0.8829577854621713,0.8555857699403495,0.27933886566606014,0.3558980799397603,0.2035594115052107,0.2448716620181523,0.2532146655362527
xgboost,0.5,5,0.3,0.65,0.7938490578080607,0.06576507041313784,0.1276394085998037,0.05043028961862572,2.719591240872117,0.797673556379806,0.10108855022117495,0.18992722851617322,0.7913391109718677,0.06316057300129319,0.30100716181779075,0.11433485683086723,0.7779646804541499,0.7987043832489936,0.8469079402669825,0.8667778396826785,0.6788904453874994,0.17167491010813174,0.15770541440236896,0.15242049610363118,0.12494206470818708,0.03145415767669958
lightgbm,0.5,5,0.3,0.65,0.6989002263273099,0.07043459104709555,0.07181401213457149,0.013233039138001636,2.109919783827391,0.4181134489734763,0.0671513377978741,0.0039251415358592156,0.7752276015952855,0.09131982257398093,0.36199553341934493,0.07129442738190124,0.5974572937322331,0.6317973129687994,0.7692093135823409,0.7590433595226876,0.7369938518304882,0.07250514448633633,0.07019607591078764,0.08806997538672295,0.07981345711381484,0.0484854077751957
