fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,catboost,0.1,25834,18084,7726,11397,1802,24032,425,10972,13.982601491300745,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.8883156054984881,0.41092524083263243,0.4993336697959661,0.7741176470588236,0.11483776886620488,0.20704845814977973,5.552308888313035,0.0372905150478196
2,catboost,0.1,26018,18213,7781,11397,1844,24174,383,11014,14.089478044739023,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.8932030963677371,0.23751865322807356,0.5200285264232386,0.814621409921671,0.13328491011439986,0.1752808988764045,5.215865285886115,0.03360533473721155
3,catboost,0.1,26202,18342,7836,11397,1929,24273,274,11123,14.022113022113022,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9014785566305368,0.367913384229609,0.5884520908455321,0.7262773722627737,0.0681470826215949,0.20794148380355276,8.649303251493032,0.024041414407300166
4,catboost,0.1,26385,18470,7891,11397,2032,24353,195,11202,14.004061738424046,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.8363053300921539,0.23728782283756394,0.4664058012649868,0.6307692307692307,0.10176754151044456,0.09738717339667459,5.6919057189841045,0.01710976572782311
5,catboost,0.1,26569,18599,7946,11397,2032,24537,195,11202,14.10885458976442,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.8279954586864068,0.13402947378081626,0.5654462399629249,0.6153846153846154,0.0867702196036422,0.10989010989010989,6.422654268808116,0.01710976572782311
