fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,random_forest,2.0,25834,18084,7726,11397,1802,24032,425,10972,13.982601491300745,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.8959985846325406,0.29576654768746713,0.2662324705199777,0.7811764705882352,0.10089318264673715,0.23071577484364142,6.186982790336427,0.0372905150478196
2,random_forest,2.0,26018,18213,7781,11397,1844,24174,383,11014,14.089478044739023,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.9264188327127924,0.3977905401320568,0.25468548325603413,0.835509138381201,0.10459415289631378,0.21739130434782608,6.468952207969122,0.03360533473721155
3,random_forest,2.0,26202,18342,7836,11397,1929,24273,274,11123,14.022113022113022,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9072304313216975,0.29978035457730173,0.3199195533406598,0.7627737226277372,0.0758788096736492,0.19848053181386516,8.255775989352632,0.024041414407300166
4,random_forest,2.0,26385,18470,7891,11397,2032,24353,195,11202,14.004061738424046,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.8742339966764177,0.2404134498982792,0.2867449443104684,0.6615384615384615,0.08819853597571863,0.11548791405550582,6.7498243922594865,0.01710976572782311
5,random_forest,2.0,26569,18599,7946,11397,2032,24537,195,11202,14.10885458976442,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.8714817408979165,0.3816704827402658,0.28629155428395864,0.6615384615384615,0.09284056418496697,0.11035072711719418,6.449575574126473,0.01710976572782311
