time_to_depeg_bin,min_hours_ahead,max_hours_ahead,threshold,n_valid,n_alerts,alert_rate,n_events_bin,n_alert_events_bin,precision,recall,f1,base_event_rate,alert_conditioned_event_rate,lift
1-4h,1.0,4.0,0.27937312470958126,11387,1931,0.16957934486695353,79,77,0.0398757120662869,0.9746835443037974,0.07661691542288558,0.006937736014753666,0.0398757120662869,5.747654851883658
5-9h,5.0,9.0,0.27937312470958126,11387,1931,0.16957934486695353,34,27,0.013982392542723977,0.7941176470588235,0.02748091603053435,0.0029858610696408185,0.013982392542723977,4.682867761294056
10-14h,10.0,14.0,0.27937312470958126,11387,1931,0.16957934486695353,30,25,0.01294665976178146,0.8333333333333334,0.025497195308516064,0.0026345832967418987,0.01294665976178146,4.91412049024685
15-19h,15.0,19.0,0.27937312470958126,11387,1931,0.16957934486695353,27,18,0.009321595028482652,0.6666666666666666,0.018386108273748723,0.002371124967067709,0.009321595028482652,3.93129639219748
20-24h,20.0,24.0,0.27937312470958126,11387,1931,0.16957934486695353,25,18,0.009321595028482652,0.72,0.018404907975460124,0.002195486080618249,0.009321595028482652,4.245800103573278
positive_target_but_no_reconstructed_crossing,,,0.27937312470958126,11387,1931,0.16957934486695353,0,0,,,,,,
