fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,xgboost,2.0,25834,18084,7726,11397,1802,24032,425,10972,13.982601491300745,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.6658087967232098,0.07482096996147952,0.47116488218307495,0.8894117647058823,0.44987240247903754,0.07113285660519383,1.9075321570103392,0.0372905150478196
2,xgboost,2.0,26018,18213,7781,11397,1844,24174,383,11014,14.089478044739023,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.5897546251364867,0.06448557336692586,0.49013277888298035,0.9086161879895561,0.6689667695660069,0.04510108864696734,1.342081220129208,0.03360533473721155
3,xgboost,2.0,26202,18342,7836,11397,1929,24273,274,11123,14.022113022113022,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.650282573558701,0.16198916834590213,0.493875116109848,0.46715328467153283,0.13125955227906141,0.08060453400503778,3.3527367666256045,0.024041414407300166
4,xgboost,2.0,26385,18470,7891,11397,2032,24353,195,11202,14.004061738424046,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.686312654791498,0.05827525952373274,0.49276912212371826,0.5794871794871795,0.20299946438136046,0.047339757017176375,2.766826721665432,0.01710976572782311
5,xgboost,2.0,26569,18599,7946,11397,2032,24537,195,11202,14.10885458976442,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.7338188235617267,0.2154598103857635,0.4984797239303589,0.6256410256410256,0.14158186038207463,0.07142857142857142,4.174725274725275,0.01710976572782311
