fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,random_forest,0.3,25834,18084,7726,11397,1802,24032,425,10972,13.982601491300745,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.905141429521134,0.35243352098226605,0.23166468883116395,0.7929411764705883,0.11811884797666788,0.2063686466625842,5.534078743561111,0.0372905150478196
2,random_forest,0.3,26018,18213,7781,11397,1844,24174,383,11014,14.089478044739023,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.9278760333987459,0.36686854840867456,0.22677049049462072,0.8642297650130548,0.12039222807336118,0.19975859987929995,5.944252644450081,0.03360533473721155
3,random_forest,0.3,26202,18342,7836,11397,1929,24273,274,11123,14.022113022113022,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9108406924299028,0.20209009868990668,0.23757866649278953,0.8248175182481752,0.14051964398094038,0.12632755729457798,5.254580914183596,0.024041414407300166
4,random_forest,0.3,26385,18470,7891,11397,2032,24353,195,11202,14.004061738424046,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.8877558494591167,0.1527528120147438,0.2257338335054671,0.7846153846153846,0.15256204249241206,0.08216970998925886,4.802503511526068,0.01710976572782311
5,random_forest,0.3,26569,18599,7946,11397,2032,24537,195,11202,14.10885458976442,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.8733229871955099,0.1554085449424661,0.19898049511344898,0.7897435897435897,0.20817711123013746,0.061946902654867256,3.620558202859088,0.01710976572782311
