fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,xgboost,0.5,25834,18084,7726,11397,1802,24032,425,10972,13.982601491300745,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.7928033925929103,0.09962494947161032,0.062293943017721176,0.7176470588235294,0.2134524243528983,0.11522478277295051,3.0899219982666284,0.0372905150478196
2,xgboost,0.5,26018,18213,7781,11397,1844,24174,383,11014,14.089478044739023,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.8663576051557452,0.17439122969761908,0.00636636046692729,0.8590078328981723,0.20010895224260034,0.12988551125148046,3.865026558049929,0.03360533473721155
3,xgboost,0.5,26202,18342,7836,11397,1929,24273,274,11123,14.022113022113022,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.5541440731410092,0.038590104280447485,0.47134795784950256,0.9452554744525548,0.7397284905151488,0.030517261694356073,1.269362158870716,0.024041414407300166
4,xgboost,0.5,26385,18470,7891,11397,2032,24353,195,11202,14.004061738424046,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.7105251351635925,0.07054907062213824,0.49330034852027893,0.5384615384615384,0.14309944652740583,0.06147540983606557,3.5930012610340483,0.01710976572782311
5,xgboost,0.5,26569,18599,7946,11397,2032,24537,195,11202,14.10885458976442,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.6583673245162265,0.03283448834742122,0.4888891279697418,0.5794871794871795,0.22951258703802893,0.042101341281669154,2.4606614696778637,0.01710976572782311
