time_to_depeg_bin,min_hours_ahead,max_hours_ahead,threshold,n_valid,n_alerts,alert_rate,n_events_bin,n_alert_events_bin,precision,recall,f1,base_event_rate,alert_conditioned_event_rate,lift
1-4h,1.0,4.0,0.1623943491069175,11373,88,0.007737624197661127,4,4,0.045454545454545456,1.0,0.08695652173913045,0.0003517101908027785,0.045454545454545456,129.23863636363637
5-9h,5.0,9.0,0.1623943491069175,11373,88,0.007737624197661127,5,5,0.056818181818181816,1.0,0.1075268817204301,0.00043963773850347316,0.056818181818181816,129.23863636363635
10-14h,10.0,14.0,0.1623943491069175,11373,88,0.007737624197661127,5,5,0.056818181818181816,1.0,0.1075268817204301,0.00043963773850347316,0.056818181818181816,129.23863636363635
15-19h,15.0,19.0,0.1623943491069175,11373,88,0.007737624197661127,5,5,0.056818181818181816,1.0,0.1075268817204301,0.00043963773850347316,0.056818181818181816,129.23863636363635
20-24h,20.0,24.0,0.1623943491069175,11373,88,0.007737624197661127,5,5,0.056818181818181816,1.0,0.1075268817204301,0.00043963773850347316,0.056818181818181816,129.23863636363635
positive_target_but_no_reconstructed_crossing,,,0.1623943491069175,11373,88,0.007737624197661127,0,0,,,,,,
