fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,xgboost,0.5,25834,18084,7726,11397,579,25255,24,11373,34.52848722986248,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.976644245142003,0.0410692236529067,0.023421237245202065,1.0,0.04009496175151675,0.05,23.743750000000002,0.0021058173203474598
2,xgboost,0.5,26018,18213,7781,11397,579,25439,24,11373,34.781925343811395,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.9920407251091766,0.14176102518638062,0.19177541136741638,1.0,0.024268003165391717,0.08,37.99,0.0021058173203474598
3,xgboost,0.5,26202,18342,7836,11397,579,25623,24,11373,35.03536345776031,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.9878586711216624,0.09310645901193304,0.3949560821056366,1.0,0.016618306515431284,0.11267605633802817,53.50704225352113,0.0021058173203474598
4,xgboost,0.5,26385,18470,7891,11397,579,25806,24,11373,35.286836935166995,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.9891904071045459,0.1059102820447318,0.39973369240760803,1.0,0.02699375714411325,0.07250755287009064,34.432024169184295,0.0021058173203474598
5,xgboost,0.5,26569,18599,7946,11397,579,25990,24,11373,35.54027504911591,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.9914838506404057,0.13129399973346445,0.41441449522972107,1.0,0.02374043787918755,0.08163265306122448,38.765306122448976,0.0021058173203474598
