model_name,alpha,n_splits,cv_test_frac,cv_min_train_frac,cv_auc_mean,cv_auc_std,cv_auprc_mean,cv_auprc_std,cv_lift_at_best_threshold_mean,cv_lift_at_best_threshold_std,cv_best_threshold_youdenJ_mean,cv_best_threshold_youdenJ_std,cv_tpr_at_best_threshold_mean,cv_tpr_at_best_threshold_std,cv_fpr_at_best_threshold_mean,cv_fpr_at_best_threshold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,fold_1_auprc,fold_2_auprc,fold_3_auprc,fold_4_auprc,fold_5_auprc
random_forest,0.1,5,0.3,0.68,0.9797715136463362,0.003280959478117472,0.18504635342456527,0.039815126788613396,16.650601063146933,2.755265492612134,0.23591593284967377,0.009899982421663695,1.0,0.0,0.05393057894618458,0.008526552868412243,0.9750604206632917,0.9821415562522445,0.9765741324716026,0.9820655357603713,0.9830159230841707,0.1819685996996023,0.25580662235465,0.1873839175671443,0.1650839616876439,0.13498866581378582
catboost,0.1,5,0.3,0.68,0.950953648355297,0.03657953185441629,0.13558324901500518,0.0704555298079914,11.286282121633889,6.07902356238751,0.46348563988068847,0.05611515098130295,0.9655680107077129,0.03430073809741817,0.11924673436002284,0.08300142530919152,0.8839086130278581,0.9403627923740241,0.9814408741279202,0.9699378561392153,0.9791181061074674,0.055742823387003856,0.10493597391516868,0.239429919938783,0.08102468018751441,0.19678284764655593
xgboost,0.1,5,0.3,0.68,0.8555225019144869,0.011341117269224916,0.05091125463247194,0.028829217689567838,7.311661705655534,2.637303342718977,0.4837911307811737,0.013634382632020308,0.8174328810900502,0.08213378254499058,0.12925428301233666,0.0631362035263009,0.8631914507477338,0.8378965685153067,0.8463607533208928,0.866941678170996,0.8632220588175052,0.10746582088791995,0.04335097660065294,0.03654722009122148,0.040455044299996246,0.02673721128256904
lightgbm,0.1,5,0.3,0.68,0.8202642716449595,0.0817348834496694,0.03879259925449011,0.011557979201015684,5.2307676396574365,1.537865076640394,0.03790387563774335,0.0037355318701361613,0.8399196921532542,0.1910700416499269,0.17010872146410297,0.06317300269355772,0.6854179473972785,0.8816365276938158,0.879651769517357,0.8898646517363002,0.7647504618800464,0.039000688754778697,0.058937142382355326,0.03896112446570637,0.03360652211842964,0.023457518551180483
