fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,2.0,25834,18084,7726,11397,4374,21460,1206,10191,5.4980237154150196,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.894568305888215,0.7333663545187757,0.5612174740816046,0.7205638474295191,0.07379059954862133,0.5360888340530536,5.066172837232713,0.10581732034745986
2,lightgbm,2.0,26018,18213,7781,11397,4419,21599,1148,10249,5.544376572044556,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.8928309229114899,0.6949899838664284,0.3760850146325817,0.7587108013937283,0.09161869450678115,0.48121546961325967,4.777362985350454,0.10072826182328683
3,lightgbm,2.0,26202,18342,7836,11397,4577,21625,979,10418,5.47212420606916,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.8893924948393124,0.680484804141008,0.29079776973511534,0.6241062308478039,0.027644461508926858,0.6796440489432704,7.912056410425385,0.0858997981925068
4,lightgbm,2.0,26385,18470,7891,11397,4686,21699,894,10503,5.458041958041958,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.899499365367219,0.6791549615353135,0.34959740938167566,0.7472035794183445,0.08892697324573931,0.41697877652933835,5.3157797719293844,0.07844169518294287
5,lightgbm,2.0,26569,18599,7946,11397,4707,21862,869,10528,5.503146853146853,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.8831598940717241,0.6369023536462914,0.3329224219392985,0.6144994246260069,0.03970364741641337,0.5609243697478992,7.356565065611976,0.07624813547424761
