fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,0.1,25866,18107,7759,11412,1802,24064,425,10987,14.0016570008285,2024-12-15 00:00:00+00:00,2024-12-15 01:00:00+00:00,2026-04-04 12:00:00+00:00,0.2211074050080577,0.03050065589740227,0.06539260153897777,1.0,0.990443251114954,0.03758733527903069,1.0092862828336429,0.03724150017525412
2,lightgbm,0.1,26056,18240,7816,11412,1844,24212,383,11029,14.111847555923777,2024-12-22 22:00:00+00:00,2024-12-22 23:00:00+00:00,2026-04-12 10:00:00+00:00,0.40027051871555336,0.036768617718342875,0.06491486899431892,0.9634464751958225,0.7232750022667513,0.04421279654924515,1.317379723811973,0.03356116368734665
3,lightgbm,0.1,26246,18373,7873,11412,1973,24273,254,11158,13.925264012997562,2024-12-30 20:00:00+00:00,2024-12-30 21:00:00+00:00,2026-04-20 08:00:00+00:00,0.41250883868500127,0.02023818548378764,0.06571816062490013,0.9921259842519685,0.83258648503316,0.026409557744707608,1.186558555049619,0.02225727304591658
4,lightgbm,0.1,26436,18506,7930,11412,2032,24404,195,11217,14.033306255077173,2025-01-07 18:00:00+00:00,2025-01-07 19:00:00+00:00,2026-04-28 06:00:00+00:00,0.7514539515341868,0.060452648051823266,0.06872015865712869,0.6717948717948717,0.20317375412320585,0.05435684647302905,3.181129907436961,0.01708727655099895
5,lightgbm,0.1,26626,18639,7987,11412,2032,24594,195,11217,14.141348497156782,2025-01-15 16:00:00+00:00,2025-01-15 17:00:00+00:00,2026-05-06 04:00:00+00:00,0.7715857112487228,0.04458229606815205,0.06497059407654711,0.8358974358974359,0.2602300080235357,0.05288773523685918,3.0951529975540355,0.01708727655099895
