score_bucket,top_fraction,time_to_depeg_bin,min_hours_ahead,max_hours_ahead,n_valid,n_bucket,n_events_bin,n_bucket_events_bin,base_event_rate,bucket_event_rate,lift
top_1pct,0.01,1-4h,1,4,11387,115,79,35,0.006937736014753666,0.30434782608695654,43.868464501926255
top_1pct,0.01,5-9h,5,9,11387,115,34,3,0.0029858610696408185,0.02608695652173913,8.736828644501278
top_1pct,0.01,10-14h,10,14,11387,115,30,2,0.0026345832967418987,0.017391304347826087,6.601159420289855
top_1pct,0.01,15-19h,15,19,11387,115,27,0,0.002371124967067709,0.0,0.0
top_1pct,0.01,20-24h,20,24,11387,115,25,0,0.002195486080618249,0.0,0.0
top_5pct,0.05,1-4h,1,4,11387,571,79,62,0.006937736014753666,0.1085814360770578,15.650845729233636
top_5pct,0.05,5-9h,5,9,11387,571,34,14,0.0029858610696408185,0.024518388791593695,8.21149685793757
top_5pct,0.05,10-14h,10,14,11387,571,30,5,0.0026345832967418987,0.008756567425569177,3.3237011091652073
top_5pct,0.05,15-19h,15,19,11387,571,27,3,0.002371124967067709,0.005253940455341506,2.2158007394434716
top_5pct,0.05,20-24h,20,24,11387,571,25,1,0.002195486080618249,0.0017513134851138354,0.7976882661996497
top_10pct,0.1,1-4h,1,4,11387,1142,79,67,0.006937736014753666,0.05866900175131348,8.456505353698818
top_10pct,0.1,5-9h,5,9,11387,1142,34,21,0.0029858610696408185,0.01838879159369527,6.158622643453178
top_10pct,0.1,10-14h,10,14,11387,1142,30,17,0.0026345832967418987,0.0148861646234676,5.650291885580852
top_10pct,0.1,15-19h,15,19,11387,1142,27,9,0.002371124967067709,0.00788091068301226,3.323701109165207
top_10pct,0.1,20-24h,20,24,11387,1142,25,5,0.002195486080618249,0.0043782837127845885,1.9942206654991241
top_20pct,0.2,1-4h,1,4,11387,2283,79,69,0.006937736014753666,0.030223390275952694,4.356376519902194
top_20pct,0.2,5-9h,5,9,11387,2283,34,24,0.0029858610696408185,0.010512483574244415,3.520754425291799
top_20pct,0.2,10-14h,10,14,11387,2283,30,21,0.0026345832967418987,0.009198423127463863,3.4914148050810336
top_20pct,0.2,15-19h,15,19,11387,2283,27,12,0.002371124967067709,0.005256241787122208,2.2167713048133546
top_20pct,0.2,20-24h,20,24,11387,2283,25,12,0.002195486080618249,0.005256241787122208,2.394113009198423
