fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,xgboost,0.5,25834,18084,7726,11397,4374,21460,1206,10191,5.4980237154150196,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.8718401825302559,0.6797652686186437,0.6301928758621216,0.7006633499170812,0.08429005985673634,0.49589201877934275,4.686302933688366,0.10581732034745986
2,xgboost,0.5,26018,18213,7781,11397,4419,21599,1148,10249,5.544376572044556,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.8509889891526767,0.5034740724224269,0.5391246676445007,0.6951219512195121,0.16177188018343253,0.3249185667752443,3.225694168586637,0.10072826182328683
3,xgboost,0.5,26202,18342,7836,11397,4577,21625,979,10418,5.47212420606916,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.8702300038179382,0.5914330454400734,0.5414731502532959,0.7129724208375894,0.10453062008062967,0.39059876888640177,4.547144197138223,0.0858997981925068
4,xgboost,0.5,26385,18470,7891,11397,4686,21699,894,10503,5.458041958041958,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.8476512836110957,0.6073186282147364,0.5754567384719849,0.610738255033557,0.05455584118823193,0.4879356568364611,6.220360940676899,0.07844169518294287
5,xgboost,0.5,26569,18599,7946,11397,4707,21862,869,10528,5.503146853146853,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.8673645991094818,0.5248899346093332,0.5737116932868958,0.6513233601841196,0.07503799392097264,0.4174041297935103,5.474286383494404,0.07624813547424761
